35759,"University of Jammu, Jammu Tawi (Id: U-0195)",Rajive Gandhi Degree College (Id: C-22948),Affiliated College,Jammu and Kashmir,Kathua
35760,"University of Jammu, Jammu Tawi (Id: U-0195)",Rajiv Gandhi Memorial College of Education (Id: C-23002),Affiliated College,Jammu and Kashmir,Kathua
35761,"University of Jammu, Jammu Tawi (Id: U-0195)",Ramisht College of Education (Id: C-30799),Affiliated College,Jammu and Kashmir,Kathua
35762,"University of Jammu, Jammu Tawi (Id: U-0195)",Ramnagar (Id: C-22931),PG Center / Off-Campus Center,Jammu and Kashmir,Udhampur
35763,"University of Jammu, Jammu Tawi (Id: U-0195)",Ranjit College of Education (Id: C-22926),Affiliated College,Jammu and Kashmir,Jammu
35764,"University of Jammu, Jammu Tawi (Id: U-0195)",R.B Educational Trust (Id: C-23015),Affiliated College,Jammu and Kashmir,Kathua
35765,"University of Jammu, Jammu Tawi (Id: U-0195)",Reasi (Id: C-22908),PG Center / Off-Campus Center,Jammu and Kashmir,Rajouri
35766,"University of Jammu, Jammu Tawi (Id: U-0195)",R.K College of Education (Id: C-22946),Affiliated College,Jammu and Kashmir,Jammu
35767,"University of Jammu, Jammu Tawi (Id: U-0195)",R.K Degree College (Id: C-22867),Affiliated College,Jammu and Kashmir,Samba
35768,"University of Jammu, Jammu Tawi (Id: U-0195)",R.M College of Education (Id: C-22918),Affiliated College,Jammu and Kashmir,Jammu
35769,"University of Jammu, Jammu Tawi (Id: U-0195)",R.S College of Education (Id: C-23025),Affiliated College,Jammu and Kashmir,Kathua
35770,"University of Jammu, Jammu Tawi (Id: U-0195)",Sacred College of Education (Id: C-22887),Affiliated College,Jammu and Kashmir,Jammu
35771,"University of Jammu, Jammu Tawi (Id: U-0195)",Sacred Heart College of Management Technology (Id: C-22911),Affiliated College,Jammu and Kashmir,Jammu
35772,"University of Jammu, Jammu Tawi (Id: U-0195)",Sai Shyam College of Education (Id: C-30805),Affiliated College,Jammu and Kashmir,Jammu
35773,"University of Jammu, Jammu Tawi (Id: U-0195)",Sant Mela Singh College of Education (Id: C-30801),Affiliated College,Jammu and Kashmir,Jammu
35774,"University of Jammu, Jammu Tawi (Id: U-0195)",Sant Rocha Singh Degree College (Id: C-22961),Affiliated College,Jammu and Kashmir,Jammu
35775,"University of Jammu, Jammu Tawi (Id: U-0195)",Saraswati College of Education (Id: C-22999),Affiliated College,Jammu and Kashmir,Jammu
35776,"University of Jammu, Jammu Tawi (Id: U-0195)",Sarvodya Institute of Edu. & Research (Id: C-22983),Affiliated College,Jammu and Kashmir,Kathua
35777,"University of Jammu, Jammu Tawi (Id: U-0195)",Satyam College of Education (Id: C-22993),Affiliated College,Jammu and Kashmir,Kathua
35778,"University of Jammu, Jammu Tawi (Id: U-0195)",SET Business School (Id: C-22989),Affiliated College,Jammu and Kashmir,Jammu
35779,"University of Jammu, Jammu Tawi (Id: U-0195)",Sharma College of Business & Technology (Id: C-23023),Affiliated College,Jammu and Kashmir,Jammu
35780,"University of Jammu, Jammu Tawi (Id: U-0195)",Shastri Memorial College of Education (Id: C-23008),Affiliated College,Jammu and Kashmir,Reasi
35781,"University of Jammu, Jammu Tawi (Id: U-0195)",Sher-e-Kashmir College of Education (Id: C-22949),Affiliated College,Jammu and Kashmir,Jammu
35782,"University of Jammu, Jammu Tawi (Id: U-0195)",Shirdee College of Education (Id: C-22877),Affiliated College,Jammu and Kashmir,Jammu
35783,"University of Jammu, Jammu Tawi (Id: U-0195)",Shivalik College of Education (Id: C-22901),Affiliated College,Jammu and Kashmir,Udhampur
35784,"University of Jammu, Jammu Tawi (Id: U-0195)",Shri Shri Parmahansa Yogananda College of Education (Id: C-23004),Affiliated College,Jammu and Kashmir,Kathua
35785,"University of Jammu, Jammu Tawi (Id: U-0195)",Sh. Swami Vishwatamanand Saraswati Degree College (Id: C-23024),Affiliated College,Jammu and Kashmir,Rajouri
35786,"University of Jammu, Jammu Tawi (Id: U-0195)",Sprindales (Id: C-22944),Affiliated College,Jammu and Kashmir,Jammu
35787,"University of Jammu, Jammu Tawi (Id: U-0195)",Surya College of Education (Id: C-22900),Affiliated College,Jammu and Kashmir,Kathua
35788,"University of Jammu, Jammu Tawi (Id: U-0195)","SVS DEGREE COLLEGE FOR WOMEN, RAJOURI (Id: C-48774)",Affiliated College,Jammu and Kashmir,Rajouri
35789,"University of Jammu, Jammu Tawi (Id: U-0195)",Swami Vishwatamanand Saraswati Degree College (Id: C-22863),Affiliated College,Jammu and Kashmir,Kathua
35790,"University of Jammu, Jammu Tawi (Id: U-0195)",Swami Vishwatamanand Sarawati College of Education (Id: C-22994),Affiliated College,Jammu and Kashmir,Rajouri
